Stn Number,agency,Latitude,Longitude,Elevation,First Date,First Yea,Last Date,Last Year,Number of Years,Stn Name
005057_76,76,-21.3387,117.0813,0,08:55_22/10/1987,1987,09:09_29/06/2006,2006,20,HARDING RIVER - 59 MILE PEG
005059_76,76,-22.6087,117.6313,0,09:04_30/12/1988,1988,08:30_15/06/2007,2007,20,HARDEY RIVER - AIR STRIP
0052_129,129,-41.8231,146.8502,1104.5,15:15_01/10/1965,1965,17:00_20/10/2008,2008,44,GREAT LAKEEAST NO2SITE
0055_129,129,-41.4908,145.2423,400,16:50_05/03/1958,1958,07:00_12/09/2008,2008,51,HEAZLEWOOD RIVER
0057_129,129,-41.8833,145.5503,524.8,22:51_09/11/1989,1989,18:00_20/10/2008,2008,20,HENTYCANAL AT CHAINAGE407
0058_129,129,-42.0714,145.5232,283.8,07:11_12/01/1995,1995,09:30_02/09/2008,2008,14,HOWARDSPLAINS
0060_129,129,-42.1468,147.1719,810,10:20_03/01/1984,1984,01:05_20/10/2008,2008,25,INTERLAKEN
0061_129,129,-41.5221,146.009,824.8,18:30_07/06/1970,1970,18:15_20/10/2008,2008,39,IRIS RIVER
0065_129,129,-42.2073,146.1384,812.1,11:50_25/06/1965,1965,18:10_20/10/2008,2008,44,KINGWILLIAM CREEK NO1SITE
0067_129,129,-42.1117,146.9274,760,15:00_22/03/1990,1990,11:00_20/10/2008,2008,19,LAGOONOFISLANDS SOUTHNO1
0069_129,129,-41.8433,146.5783,1164.8,15:20_15/06/1971,1971,18:08_20/10/2008,2008,38,LAKEAUGUSTAEAST NO1SITE
007091_76,76,-28.3419,116.6819,0,00:00_12/04/1963,1963,00:00_19/11/1978,1978,16,YALGOO - YALGOO
0076_129,129,-41.4685,146.0746,474.7,16:56_31/07/1968,1968,17:00_20/10/2008,2008,41,LAKEGAIRDNER AT DAM
0078_129,129,-41.7796,146.3923,1247,16:20_23/04/1992,1992,17:30_20/10/2008,2008,17,LAKEGWENDY
0081_129,129,-41.6804,146.38,1121,16:00_18/03/1969,1969,18:05_20/10/2008,2008,40,LAKEMACKENZIE AT DAM
0091_129,129,-41.8702,145.6197,480,13:20_28/11/1995,1995,18:05_20/10/2008,2008,14,LAKEPLIMSOLL LEAKAGE WEIR LEVEE DAM
0093_129,129,-41.75,147.12,148,15:40_16/02/2000,2000,17:45_20/10/2008,2008,9,LAKE RIVER AT LAKEHOUSE EVAPORATIONPAN
009742_76,76,-32.5802,116.4457,0,00:00_21/06/1963,1963,00:00_01/06/1978,1978,16,BANNISTER NORTH - BANNISTER NORTH
0103_129,129,-41.8996,146.6357,1057.9,15:21_19/07/1991,1991,18:10_14/10/2008,2008,18,LIAWENEECANAL AT OLDLIAWENEE
0105_129,129,-41.2845,145.7557,500,16:07_29/11/1989,1989,17:05_03/09/2008,2008,20,LOUDWATER RIVER AT HAMPSHIRE
0107_129,129,-41.7453,146.1709,859.7,14:20_27/11/1989,1989,06:20_20/10/2008,2008,20,MAGGSMOUNTAIN
0109_129,129,-42.862,146.1987,343.2,11:00_15/02/1979,1979,18:05_20/10/2008,2008,30,MCPARTLANPASS
0111_129,129,-41.524,146.6586,233.3,14:05_08/08/1991,1991,14:05_20/10/2008,2008,18,MEANDER RIVER AT DELORAINE BRIDGE
0112_129,129,-41.6509,146.6145,290,16:10_11/07/1990,1990,10:15_02/10/2008,2008,19,MEANDER RIVER AT MEANDER
0114_129,129,-41.3973,146.4946,48,16:10_15/08/1990,1990,12:10_20/10/2008,2008,19,MERSEY RIVER AT KIMBERLEY
0116_129,129,-41.9824,146.7266,1031.4,00:00_01/03/1972,1972,18:05_20/10/2008,2008,37,MIENA
0117_129,129,-42.5244,146.5074,773.1,13:40_09/05/1997,1997,18:05_20/10/2008,2008,12,MISERYPLATEAU
0121_129,129,-42.7168,146.4658,926.4,16:16_08/08/1990,1990,14:25_20/10/2008,2008,19,MTTIMSHEA SHELTERGROUND
0122_129,129,-42.0107,146.1053,738.7,13:00_10/02/1966,1966,17:30_20/10/2008,2008,43,NARCISSUS NO1SITE
0125_129,129,-42.0328,146.4163,,16:15_24/06/1965,1965,15:45_20/10/2008,2008,44,NIVE RIVER GOWANBRAENO1
0126_129,129,-42.4119,146.7782,142,14:45_24/04/1995,1995,14:10_20/10/2008,2008,14,OUSE RIVER AT ASHTON
0131_129,129,-41.7866,146.9886,178.5,16:10_05/08/1964,1964,18:10_20/10/2008,2008,45,PALMERSTON
0137_129,129,-41.81,145.97,983,13:53_01/03/2000,2000,16:16_18/12/2007,2007,8,PINEFORESTMOOR
0140_129,129,-41.7982,146.6776,1039.5,09:55_02/04/1969,1969,18:10_20/10/2008,2008,40,PINETREERIVULET AT LAKEHWY
0144_129,129,-41.3143,146.0538,414,11:16_24/06/1999,1999,07:00_12/09/2008,2008,10,PRESTONSOUTH
0145_129,129,-41.5826,145.6713,665.6,02:50_15/10/1985,1985,18:05_20/10/2008,2008,24,QUE RIVER
0146_129,129,-41.7422,145.1435,174.2,13:11_19/11/1989,1989,17:00_20/10/2008,2008,20,REECE DAM
0151_129,129,-41.2141,145.3204,474,10:30_23/06/1999,1999,10:49_18/12/2007,2007,9,SAVAGEPIPELINE
0152_129,129,-43.033,146.3009,299.9,10:50_19/02/1999,1999,12:20_20/10/2008,2008,10,SCOTTSPEAK DAM
0155_129,129,-42.2539,146.8756,505.8,10:10_08/01/1991,1991,18:15_20/10/2008,2008,18,SHANNON RIVER AT HERMITAGE
0158_129,129,-41.3356,146.3087,217,00:00_20/01/1991,1991,18:10_20/10/2008,2008,18,SHEFFIELDCONTROL
0159_129,129,-42.56,145.68,24,13:00_12/03/1980,1980,08:30_19/06/2008,2008,29,SIRJOHNFALLS WARNERSLANDING
0161_129,129,-41.5186,147.9858,,15:30_25/05/1995,1995,18:10_20/10/2008,2008,14,SOUTHESK AT BEAUTYFLAT
0162_129,129,-41.8157,147.5671,185.3,20:37_05/04/1990,1990,14:05_20/10/2008,2008,19,SOUTHESK AT LLEWELLYN
0163_129,129,-41.7091,145.2637,424,16:09_09/10/1999,1999,07:00_12/09/2008,2008,10,STANLEY RIVER
0165_129,129,-42.767,146.05,322.7,13:15_14/01/1970,1970,18:10_20/10/2008,2008,39,STRATHGORDON METSTATION
0168_129,129,-42.2145,147.7808,460,00:00_20/07/1957,1957,06:05_02/10/2008,2008,52,TOOMS LAKE
0170_129,129,-41.7369,145.6156,169.4,12:00_10/07/1962,1962,18:05_20/10/2008,2008,47,TULLAH
0172_129,129,-42.6905,146.707,180,13:39_21/02/1989,1989,12:25_06/10/2008,2008,20,TYENNA AT NATIONALPARK
0173_129,129,-41.4479,145.5411,616.2,15:15_08/12/1994,1994,18:10_20/10/2008,2008,15,WARATAH
0180_129,129,-41.8219,145.2414,223.7,12:10_14/01/1959,1959,07:00_18/08/2008,2008,50,ZEEHAN
031103_66,66,-17.9438,145.1657,,14:45_22/03/1983,1983,11:00_15/12/2005,2005,23,GUNNAWARRA STANDALONE
032018_66,66,-18.1691,145.337,,10:10_19/03/1985,1985,10:00_16/07/2008,2008,24,GLEN EAGLE STANDALONE
032028_66,66,-18.1451,145.6085,,08:50_08/11/1983,1983,20:48_23/12/2007,2007,25,KIRRAMA STANDALONE
032142_66,66,-18.6843,145.7491,687,13:00_10/01/1982,1982,00:00_31/12/2007,2007,26,WHITE CRYSTAL STANDALONE
039275_66,66,-24.3575,150.9621,782,00:00_08/07/1992,1992,12:36_02/09/2008,2008,17,KROOMBIT TOPS STANDALONE
040726_66,66,-26.8809,151.5986,980,12:50_27/02/1985,1985,12:46_22/10/2008,2008,24,DANDABAH AT STANDALONE
102101a_66,66,-12.8814,142.9818,53,11:30_06/11/1986,1986,08:40_04/06/2008,2008,23,PASCOE RIVER AT FALL CREEK
102102a_66,66,-12.6608,143.0477,5,14:02_06/07/1997,1997,11:01_16/07/2008,2008,12,PASCOE RIVER AT GARRAWAY CREEK
104001a_66,66,-14.174,143.3968,47,16:00_01/11/1992,1992,11:25_18/07/2008,2008,17,STEWART RIVER AT TELEGRAPH ROAD
105001b_66,66,-15.2267,143.8455,,14:41_03/07/1997,1997,10:30_19/07/2008,2008,12,HANN RIVER AT SANDY CREEK
105101a_66,66,-15.2822,144.8377,68,14:00_04/12/1990,1990,10:40_26/08/2008,2008,19,NORMANBY RIVER AT BATTLE CAMP
105102a_66,66,-15.6173,144.4842,84,10:08_04/12/1990,1990,16:40_19/08/2008,2008,19,LAURA RIVER AT COALSEAM CREEK
105105a_66,66,-15.7727,145.0136,140,16:15_09/10/1992,1992,15:00_26/08/2008,2008,17,EAST NORMANBY RIVER AT DEVELOPMENTAL ROAD
107003a_66,66,-15.6894,145.2075,115,13:58_05/02/1998,1998,12:25_14/08/2008,2008,11,ANNAN RIVER AT BEESBIKE
108002a_66,66,-16.1807,145.2808,25,13:00_28/06/1990,1990,11:26_05/08/2008,2008,19,DAINTREE RIVER AT BAIRDS
108008a_66,66,-16.3917,145.337,,15:00_10/03/1999,1999,10:25_06/08/2008,2008,10,WHYANBEEL CREEK AT UPSTREAM LITTLE FALLS CK
111005a_66,66,-17.1832,145.7248,44.4,16:17_31/05/2000,2000,16:30_29/10/2008,2008,9,MULGRAVE RIVER AT THE FISHERIES
111007a_66,66,-17.1334,145.7646,27.1,10:30_11/08/1993,1993,09:39_29/10/2008,2008,16,MULGRAVE RIVER AT PEETS BRIDGE
111009a_66,66,-17.0458,145.8019,,11:30_19/12/1997,1997,11:50_30/10/2008,2008,12,SIMMONDS CREEK AT KAMMA PINE ROAD
111101d_66,66,-17.386,145.9673,,09:10_02/02/1995,1995,15:26_28/10/2008,2008,14,RUSSELL RIVER AT BUCKLANDS
111105a_66,66,-17.3472,145.8727,24.1,13:31_10/10/1997,1997,14:03_30/10/2008,2008,12,BABINDA CREEK AT THE BOULDERS
112004a_66,66,-17.5456,145.9325,21,15:10_30/11/1993,1993,10:43_08/09/2008,2008,16,NORTH JOHNSTONE RIVER AT TUNG OIL
112101b_66,66,-17.6089,145.9791,16.6,13:17_02/12/1993,1993,15:00_27/10/2008,2008,16,SOUTH JOHNSTONE RIVER AT UPSTREAM CENTRAL MI
112102a_66,66,-17.7147,145.9057,39.9,14:57_29/11/1993,1993,09:46_15/09/2008,2008,16,LIVERPOOL CREEK AT UPPER JAPOONVALE
113006a_66,66,-17.9921,145.9425,8.8,12:20_06/06/1990,1990,16:47_04/11/2008,2008,19,TULLY RIVER AT EURAMO
116001e_66,66,-18.6361,146.1419,16,09:03_18/11/1997,1997,15:30_31/07/2008,2008,12,HERBERT RIVER AT INGHAM
116008b_66,66,-18.4458,145.8469,43,13:55_07/04/1992,1992,13:26_31/07/2008,2008,17,GOWRIE CREEK AT ABERGOWRIE
116010a_66,66,-18.2042,145.5371,545,15:22_24/04/1991,1991,14:00_17/09/2008,2008,18,BLENCOE CREEK AT BLENCOE FALLS
116017a_66,66,-18.7686,145.9506,60,09:20_19/11/1997,1997,09:29_01/08/2008,2008,12,STONE RIVER AT RUNNING CREEK
117002a_66,66,-19.2377,146.6329,16,14:15_13/12/1989,1989,11:40_03/09/2008,2008,20,BLACK RIVER AT BRUCE HIGHWAY
117003a_66,66,-19.185,146.5461,18,09:48_27/07/1995,1995,13:33_15/07/2008,2008,14,BLUEWATER CREEK AT BLUEWATER
118003a_66,66,-19.3203,146.7011,14,12:00_14/12/1989,1989,11:16_16/09/2008,2008,20,BOHLE RIVER AT HERVEY RANGE ROAD
119003a_66,66,-19.6336,147.1086,21,12:55_03/08/1995,1995,13:15_17/07/2008,2008,14,HAUGHTON RIVER AT POWERLINE
119005a_66,66,-19.775,146.9569,57,10:55_01/04/1992,1992,13:30_18/07/2008,2008,17,HAUGHTON RIVER AT MOUNT PICCANINNY
119006a_66,66,-19.6719,147.0247,34,11:07_04/11/1994,1994,11:16_18/07/2008,2008,15,MAJOR CREEK AT DAMSITE
120107b_66,66,-19.1683,145.4194,367,11:30_18/07/1990,1990,10:45_14/06/2008,2008,19,BURDEKIN RIVER AT BLUE RANGE
120110a_66,66,-19.2073,145.495,363,16:21_05/09/1995,1995,12:31_13/06/2008,2008,14,BURDEKIN RIVER AT MOUNT FULLSTOP
120112a_66,66,-19.3795,146.0458,353,12:58_13/11/1997,1997,13:10_11/06/2008,2008,12,STAR RIVER AT LAROONA
120121a_66,66,-18.5154,145.1843,522,08:24_19/11/1991,1991,14:28_12/06/2008,2008,18,BURDEKIN RIVER AT LAKE LUCY DAM SITE
120207a_66,66,-20.9182,148.3245,220,09:07_31/05/1995,1995,12:49_30/07/2008,2008,14,BROKEN RIVER AT URANNAH
120216a_66,66,-21.1944,148.4477,570,17:55_29/05/1990,1990,11:19_31/07/2008,2008,19,BROKEN RIVER AT OLD RACECOURSE
120219a_66,66,-20.5272,147.5486,,08:30_05/06/1996,1996,10:15_27/04/2006,2006,11,BOWEN RIVER AT RED HILL CREEK
120303a_66,66,-21.229,146.9134,172,09:50_04/11/1997,1997,08:18_02/07/2008,2008,12,SUTTOR RIVER AT ST ANNS
120304a_66,66,-21.4503,147.7142,255,13:15_06/03/1991,1991,11:05_01/07/2008,2008,18,SUTTOR RIVER AT EAGLEFIELD
121001a_66,66,-20.2917,148.1158,38,14:00_24/07/1990,1990,10:24_03/07/2008,2008,19,DON RIVER AT IDA CREEK
121002a_66,66,-19.935,147.8389,,10:06_15/05/1992,1992,11:33_04/07/2008,2008,17,ELLIOT RIVER AT GUTHALUNGRA
122004a_66,66,-20.3008,148.5475,,13:30_10/10/1989,1989,12:50_18/09/2008,2008,20,GREGORY RIVER AT LOWER GREGORY
124001a_66,66,-20.6281,148.5742,80,11:30_09/10/1989,1989,13:00_03/11/2005,2005,17,O'CONNELL RIVER AT CAPING SIDING
124002a_66,66,-20.9075,148.7586,20,09:45_09/10/1989,1989,14:20_10/07/2008,2008,20,ST.HELENS CREEK AT CALEN
124003a_66,66,-20.5789,148.4714,59,10:59_06/09/1995,1995,09:20_20/08/2008,2008,14,ANDROMACHE RIVER AT JOCHHEIMS
125005a_66,66,-21.3228,148.8351,58,14:20_20/08/1990,1990,10:00_16/10/2008,2008,19,BLACKS CREEK AT WHITEFORDS
125007a_66,66,-21.1783,148.8286,34,13:00_25/10/1989,1989,11:30_20/10/2008,2008,20,PIONEER RIVER AT MIRANI WEIR TAILWATER
126003a_66,66,-21.9157,149.3986,20,13:20_24/10/1989,1989,14:50_12/08/2008,2008,20,CARMILA CREEK AT CARMILA
130003b_66,66,-23.5764,149.9378,61,12:10_03/06/1996,1996,08:45_23/07/2008,2008,13,FITZROY RIVER AT RIVERSLEA
130005a_66,66,-23.089,150.1071,,11:38_09/08/1995,1995,11:20_18/07/2008,2008,14,FITZROY RIVER AT THE GAP
130008a_66,66,-23.4835,150.3436,25,16:14_04/11/1997,1997,12:40_17/07/2008,2008,12,NEERKOL CREEK AT NEERKOL
130209a_66,66,-23.8849,147.7572,240,10:11_11/08/1996,1996,10:24_19/06/2008,2008,13,NOGOA RIVER AT CRAIGMORE
130210a_66,66,-23.1856,147.8948,,17:36_14/08/1996,1996,13:23_07/10/2008,2008,13,THERESA CREEK AT VALERIA
130219a_66,66,-23.4816,148.4727,,13:40_10/08/1996,1996,15:24_09/04/2008,2008,13,NOGOA RIVER AT DUCK PONDS
130302a_66,66,-25.6376,149.7901,192,16:20_11/04/1990,1990,08:03_08/07/2008,2008,19,DAWSON RIVER AT TAROOM
130316a_66,66,-24.3386,149.5839,127,15:25_12/11/1990,1990,10:02_07/08/2008,2008,19,MIMOSA CREEK AT REDCLIFFE
130322a_66,66,-24.0883,149.8219,83,13:15_19/03/1991,1991,09:35_05/08/2008,2008,18,DAWSON RIVER AT BECKERS
130324a_66,66,-25.7447,149.3299,228,13:30_23/03/1991,1991,08:34_09/07/2008,2008,18,DAWSON RIVER AT UTOPIA DOWNS
130327a_66,66,-24.1065,150.2872,122,17:00_06/04/1995,1995,14:53_21/07/2008,2008,14,CALLIDE CREEK AT GOOVIGEN
130335a_66,66,-23.7657,150.3579,155,14:10_16/06/1995,1995,11:05_16/09/2008,2008,14,DEE RIVER AT WURA
130344a_66,66,-26.025,149.8831,226,14:03_31/07/1996,1996,16:31_15/10/2008,2008,13,JUANDAH CREEK AT WINDAMERE
130349a_66,66,-23.9726,150.3911,131,15:10_14/02/1990,1990,12:35_12/06/2008,2008,19,DON RIVER AT KINGSBOROUGH
130353a_66,66,-24.3125,150.7772,,11:31_14/09/1990,1990,08:10_02/06/2003,2003,14,STAG CREEK AT MALAKOFF JUNCTION
130355a_66,66,-23.6574,150.3723,213,17:10_04/12/1992,1992,16:06_28/02/2008,2008,17,DEE RIVER AT KENBULA
130403a_66,66,-22.0383,149.1286,,17:48_28/03/1995,1995,10:00_26/06/2008,2008,14,CONNORS RIVER AT MOUNT BRIDGET
130404a_66,66,-22.3359,148.9485,,12:41_28/03/1995,1995,10:19_02/09/2008,2008,14,CONNORS RIVER AT PINK LAGOON
130406a_66,66,-21.777,148.9268,,17:52_29/03/1995,1995,09:10_02/07/2008,2008,14,FUNNEL CREEK AT MAIN ROAD
130410a_66,66,-22.1742,148.3811,,11:11_30/03/1995,1995,14:26_02/07/2008,2008,14,ISAAC RIVER AT DEVERILL
130502b_66,66,-24.8419,148.6937,247,15:35_11/04/1995,1995,11:25_01/05/2008,2008,14,BROWN RIVER AT LAKE BROWN
130504a_66,66,-23.6527,148.5545,152,17:25_18/02/1991,1991,16:09_07/01/2004,2004,14,COMET RIVER AT AMTD 17.2 KM
130509a_66,66,-24.9775,148.3881,,12:45_12/04/1995,1995,08:25_30/04/2008,2008,14,CARNARVON CREEK AT REWAN
132001a_66,66,-23.985,151.0976,21,10:00_11/04/1995,1995,09:00_01/09/2008,2008,14,CALLIOPE RIVER AT CASTLEHOPE
133003a_66,66,-24.1932,151.1561,74,14:20_22/11/1991,1991,14:48_01/09/2008,2008,18,DIGLUM CREEK AT MARLUA
133004a_66,66,-24.2824,151.2855,50,10:41_22/11/1991,1991,11:32_02/09/2008,2008,18,BOYNE RIVER AT MILTON
134001b_66,66,-24.5136,151.7363,,13:50_10/04/1990,1990,10:48_14/07/2008,2008,19,BAFFLE CREEK AT MIMDALE
135002a_66,66,-24.7533,151.5872,,13:40_11/08/1992,1992,13:55_14/07/2008,2008,17,KOLAN RIVER AT SPRINGFIELD
136006a_66,66,-25.2731,151.5173,,16:13_06/05/1992,1992,09:21_07/10/2008,2008,17,REID CREEK AT DAM SITE
136007a_66,66,-25.2842,151.99,68.7,09:46_22/01/1997,1997,11:44_05/08/2008,2008,12,BURNETT RIVER AT FIGTREE CREEK
136101c_66,66,-25.1289,151.1307,199.4,08:15_06/10/1999,1999,08:51_03/09/2008,2008,10,THREE MOON CREEK AT ABERCORN
136106a_66,66,-25.4023,151.1033,,16:50_05/06/1995,1995,11:31_07/10/2008,2008,14,BURNETT RIVER AT EIDSVOLD
136108a_66,66,-24.6132,151.1139,,09:50_08/01/1991,1991,16:12_02/09/2008,2008,18,MONAL CREEK AT UPPER MONAL
136111a_66,66,-24.7454,151.2602,,07:40_01/04/1998,1998,15:20_03/09/2008,2008,11,SPLINTER CREEK AT DAKIEL
136203a_66,66,-26.7368,151.8188,,09:30_12/06/1991,1991,14:02_22/10/2008,2008,18,BARKER CREEK AT BROOKLANDS
136213a_66,66,-26.3178,152.0653,310,11:13_03/10/1995,1995,07:49_08/08/2008,2008,14,BARAMBAH CREEK AT WEST BARAMBAH
136305a_66,66,-25.6815,151.0077,,09:04_21/07/1992,1992,13:08_12/08/2008,2008,17,AUBURN RIVER AT GLENWOOD NO 2
137101a_66,66,-25.0862,152.2405,,14:58_22/09/1999,1999,14:53_30/06/2008,2008,10,GREGORY RIVER AT ISIS HIGHWAY
138007a_66,66,-26.1695,152.6008,,11:10_24/09/1999,1999,13:00_23/09/2008,2008,10,MARY RIVER AT FISHERMANS POCKET
138014a_66,66,-25.7683,152.5274,,14:02_15/02/1993,1993,14:45_08/10/2008,2008,16,MARY RIVER AT HOME PARK
138102c_66,66,-26.3655,152.6202,,10:39_14/12/1999,1999,14:31_05/08/2008,2008,10,AMAMOOR CREEK AT ZACHARIAH
138107b_66,66,-26.3306,152.8137,,12:40_24/06/1993,1993,14:57_04/08/2008,2008,16,SIX MILE CREEK AT COORAN
138110a_66,66,-26.6274,152.7046,,17:20_18/12/1991,1991,15:52_02/09/2008,2008,18,MARY RIVER AT BELLBIRD CREEK
138111a_66,66,-26.5261,152.7439,,13:50_15/07/1993,1993,10:38_17/09/2008,2008,16,MARY RIVER AT MOY POCKET
140002a_66,66,-26.0572,153.0426,,10:20_21/04/1994,1994,17:17_06/08/2008,2008,15,TEEWAH CREEK AT COOPS CORNER
141009a_66,66,-26.4945,152.9616,,10:30_05/02/1991,1991,16:16_01/09/2008,2008,18,NORTH MAROOCHY RIVER AT EUMUNDI
142001a_66,66,-27.0978,152.8906,,11:30_17/09/1990,1990,09:30_20/10/2008,2008,19,CABOOLTURE RIVER AT UPPER CABOOLTURE
143010b_66,66,-26.9786,152.285,,14:15_04/11/1992,1992,08:37_22/10/2008,2008,17,EMU CREEK AT BOAT MOUNTAIN
143015b_66,66,-26.7411,152.1367,,12:30_17/08/1999,1999,10:00_21/10/2008,2008,10,COOYAR CREEK AT DAMSITE
143028a_66,66,-27.4508,152.9925,,10:15_09/10/1998,1998,14:20_21/08/2008,2008,11,ITHACA CREEK AT JASON STREET
143035a_66,66,-27.4011,152.6067,,16:15_27/04/1993,1993,12:23_01/08/2008,2008,16,BRISBANE RIVER AT WIVENHOE TAILWATER
143108a_66,66,-27.6661,152.6989,20,00:00_22/06/1993,1993,12:14_24/09/2008,2008,16,WARRILL CREEK AT AMBERLEY
143110a_66,66,-27.8331,152.5086,,16:15_13/11/1992,1992,10:59_03/07/2008,2008,17,BREMER RIVER AT ADAMS BRIDGE
143203c_66,66,-27.5442,152.1131,128,13:00_10/08/1995,1995,16:55_25/09/2008,2008,14,LOCKYER CREEK AT HELIDON NUMBER 3
143207a_66,66,-27.4183,152.5903,,13:10_21/01/1993,1993,14:56_26/09/2008,2008,16,LOCKYER CREEK AT O'REILLYS WEIR
143212a_66,66,-27.6343,152.2154,,15:19_10/02/1993,1993,14:51_25/09/2008,2008,16,TENTHILL CREEK AT TENTHILL
143921a_66,66,-27.1367,152.3306,,13:10_23/08/1995,1995,12:17_15/07/2008,2008,14,CRESSBROOK CREEK AT ROSENTRETTERS CROSSING
145003b_66,66,-28.2022,152.7697,,13:40_17/09/1993,1993,09:00_02/10/2008,2008,16,LOGAN R AT FOREST HOME
145008a_66,66,-28.0725,152.9253,,13:00_30/03/1993,1993,13:07_30/09/2008,2008,16,LOGAN RIVER AT ROUND MTN
145010a_66,66,-28.2452,152.8914,,13:50_06/08/1993,1993,10:35_01/10/2008,2008,16,RUNNING CK AT DIECKMANS BRIDGE
145011a_66,66,-28.148,152.5699,,12:00_02/10/1992,1992,08:10_03/10/2008,2008,17,TEVIOT BROOK AT CROFTBY
145012a_66,66,-27.9308,152.8578,,10:30_25/06/1991,1991,11:54_03/10/2008,2008,18,TEVIOT BROOK AT THE OVERFLOW
145014a_66,66,-27.8328,152.9858,,12:00_24/06/1991,1991,11:09_29/09/2008,2008,18,LOGAN RIVER AT YARRAHAPPINI
145020a_66,66,-28.2183,152.8664,95,12:30_22/11/1995,1995,13:49_01/10/2008,2008,14,LOGAN R AT RATHDOWNEY
